file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes
35,035_theme.php,wordpress_4.0/wp-includes\theme.php,2014,60.7,7,True
36,036_wp-db.php,wordpress_4.0/wp-includes\wp-db.php,2186,59.3,12,True
37,037_post-template.php,wordpress_4.0/wp-includes\post-template.php,1766,52.7,7,True
38,038_post.php,wordpress_4.0/wp-admin\includes\post.php,1661,51.5,6,True
39,039_nav-menu.php,wordpress_4.0/wp-admin\includes\nav-menu.php,1328,51.1,2,True
40,040_Misc.php,wordpress_4.0/wp-includes\SimplePie\Misc.php,2247,50.3,8,True
41,041_default-widgets.php,wordpress_4.0/wp-includes\default-widgets.php,1423,49.9,5,True
42,042_class-wp-editor.php,wordpress_4.0/wp-includes\class-wp-editor.php,1433,49.7,0,False
43,043_class-wp-customize-widgets.php,wordpress_4.0/wp-includes\class-wp-customize-widgets.php,1556,47.2,5,True
44,044_script-loader.php,wordpress_4.0/wp-includes\script-loader.php,1042,47.0,3,True
45,045_widgets.php,wordpress_4.0/wp-includes\widgets.php,1514,46.6,10,True
46,046_dashboard.php,wordpress_4.0/wp-admin\includes\dashboard.php,1333,45.8,6,True
47,047_meta-boxes.php,wordpress_4.0/wp-admin\includes\meta-boxes.php,1119,45.6,4,True
48,048_update-core.php,wordpress_4.0/wp-admin\includes\update-core.php,1151,45.1,6,True
49,049_file.php,wordpress_4.0/wp-admin\includes\file.php,1150,44.1,8,True
50,050_category-template.php,wordpress_4.0/wp-includes\category-template.php,1407,43.4,3,True
51,051_custom-header.php,wordpress_4.0/wp-admin\custom-header.php,1366,43.2,6,True
52,052_getid3.lib.php,wordpress_4.0/wp-includes\ID3\getid3.lib.php,1342,42.5,12,True
53,053_option.php,wordpress_4.0/wp-includes\option.php,1440,42.0,4,True
54,054_media-template.php,wordpress_4.0/wp-includes\media-template.php,1208,42.0,3,True
55,055_kses.php,wordpress_4.0/wp-includes\kses.php,1518,41.8,4,True
56,056_class-wp-posts-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-posts-list-table.php,1301,41.6,5,True
57,057_class-json.php,wordpress_4.0/wp-includes\class-json.php,936,38.8,6,True
58,058_class-wp-theme.php,wordpress_4.0/wp-includes\class-wp-theme.php,1235,38.5,8,True
