file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes
43,043_image.php,wordpress_4.0/wp-admin\includes\image.php,598,19.0,5,True
44,044_class-wp-image-editor.php,wordpress_4.0/wp-includes\class-wp-image-editor.php,471,11.3,5,True
45,045_Locator.php,wordpress_4.0/wp-includes\SimplePie\Locator.php,372,10.9,5,True
46,046_module.audio-video.flv.php,wordpress_4.0/wp-includes\ID3\module.audio-video.flv.php,729,22.7,5,True
47,047_update-core.php,wordpress_4.0/wp-admin\update-core.php,649,26.9,5,True
48,048_about.php,wordpress_4.0/wp-admin\about.php,193,7.4,5,True
49,049_Parser.php,wordpress_4.0/wp-includes\SimplePie\Parser.php,407,11.6,5,True
50,050_class-oembed.php,wordpress_4.0/wp-includes\class-oembed.php,579,22.0,5,True
51,051_ms-deprecated.php,wordpress_4.0/wp-includes\ms-deprecated.php,347,8.8,5,True
52,052_class-wp-ms-themes-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-ms-themes-list-table.php,459,14.8,5,True
53,053_class-wp-themes-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-themes-list-table.php,279,9.3,5,True
54,054_nav-menu.php,wordpress_4.0/wp-includes\nav-menu.php,895,28.1,5,True
55,055_rss.php,wordpress_4.0/wp-includes\rss.php,936,22.5,5,True
56,056_class.akismet.php,wordpress_4.0/wp-content\plugins\akismet\class.akismet.php,933,35.2,4,True
57,057_class-wp-customize-manager.php,wordpress_4.0/wp-includes\class-wp-customize-manager.php,1272,31.9,4,True
58,058_session.php,wordpress_4.0/wp-includes\session.php,425,9.7,4,True
59,059_credits.php,wordpress_4.0/wp-admin\credits.php,192,6.7,5,True
60,060_themes.php,wordpress_4.0/wp-admin\themes.php,374,16.2,5,True
61,061_class.wp-scripts.php,wordpress_4.0/wp-includes\class.wp-scripts.php,247,6.3,5,True
62,062_string.php,wordpress_4.0/wp-includes\Text\Diff\Engine\string.php,248,8.2,5,True
63,063_module.audio.dts.php,wordpress_4.0/wp-includes\ID3\module.audio.dts.php,290,10.2,4,True
64,064_wp-diff.php,wordpress_4.0/wp-includes\wp-diff.php,523,13.8,5,True
65,065_class-wp-image-editor-imagick.php,wordpress_4.0/wp-includes\class-wp-image-editor-imagick.php,511,13.3,5,True
66,066_class.wp-dependencies.php,wordpress_4.0/wp-includes\class.wp-dependencies.php,509,12.4,5,True
67,067_user.php,wordpress_4.0/wp-admin\includes\user.php,442,14.7,4,True
68,068_revision.php,wordpress_4.0/wp-includes\revision.php,657,18.1,4,True
69,069_class-wp-image-editor-gd.php,wordpress_4.0/wp-includes\class-wp-image-editor-gd.php,459,12.5,4,True
70,070_File.php,wordpress_4.0/wp-includes\SimplePie\File.php,292,9.5,4,True
71,071_plugins.php,wordpress_4.0/wp-admin\plugins.php,455,19.3,4,True
72,072_class-wp-users-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-users-list-table.php,459,13.1,4,True
73,073_site-settings.php,wordpress_4.0/wp-admin\network\site-settings.php,173,7.3,4,True
74,074_site-themes.php,wordpress_4.0/wp-admin\network\site-themes.php,185,7.3,3,True
75,075_my-sites.php,wordpress_4.0/wp-admin\my-sites.php,145,4.6,3,True
76,076_upgrade.php,wordpress_4.0/wp-admin\network\upgrade.php,120,4.4,3,True
77,077_post-thumbnail-template.php,wordpress_4.0/wp-includes\post-thumbnail-template.php,142,3.8,3,True
78,078_media.php,wordpress_4.0/wp-admin\media.php,146,5.1,3,True
79,079_load-styles.php,wordpress_4.0/wp-admin\load-styles.php,153,3.1,3,True
80,080_site-info.php,wordpress_4.0/wp-admin\network\site-info.php,178,7.9,3,True
81,081_site-new.php,wordpress_4.0/wp-admin\network\site-new.php,153,6.3,3,True
82,082_import.php,wordpress_4.0/wp-admin\import.php,132,5.1,3,True
83,083_shell.php,wordpress_4.0/wp-includes\Text\Diff\Engine\shell.php,162,5.0,3,True
84,084_class-wp-ajax-response.php,wordpress_4.0/wp-includes\class-wp-ajax-response.php,199,5.0,3,True
85,085_async-upload.php,wordpress_4.0/wp-admin\async-upload.php,114,4.0,3,True
86,086_user-new.php,wordpress_4.0/wp-admin\network\user-new.php,106,3.8,3,True
87,087_Restriction.php,wordpress_4.0/wp-includes\SimplePie\Restriction.php,155,3.7,3,True
88,088_Credit.php,wordpress_4.0/wp-includes\SimplePie\Credit.php,156,3.6,3,True
89,089_Category.php,wordpress_4.0/wp-includes\SimplePie\Category.php,157,3.6,3,True
90,090_Author.php,wordpress_4.0/wp-includes\SimplePie\Author.php,157,3.5,3,True
91,091_Rating.php,wordpress_4.0/wp-includes\SimplePie\Rating.php,129,3.4,3,True
92,092_Copyright.php,wordpress_4.0/wp-includes\SimplePie\Copyright.php,130,3.3,3,True
93,093_vars.php,wordpress_4.0/wp-includes\vars.php,144,5.2,3,True
94,094_class.akismet-widget.php,wordpress_4.0/wp-content\plugins\akismet\class.akismet-widget.php,110,2.7,3,True
95,095_class-wp-http-ixr-client.php,wordpress_4.0/wp-includes\class-wp-http-ixr-client.php,97,2.7,3,True
96,096_class-ftp-pure.php,wordpress_4.0/wp-admin\includes\class-ftp-pure.php,190,5.3,3,True
97,097_class-wp-customize-section.php,wordpress_4.0/wp-includes\class-wp-customize-section.php,196,4.2,2,True
98,098_wp-load.php,wordpress_4.0/wp-load.php,73,2.7,3,True
99,099_ms-files.php,wordpress_4.0/wp-includes\ms-files.php,82,2.5,3,True
100,100_wp-links-opml.php,wordpress_4.0/wp-links-opml.php,80,2.3,3,True
